[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:57] C1:51 | C2:nicho para control de riego piso 16 | C3:varios arquitectura | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:58] C1:52 | C2:Forrado de enchape de baños | C3:Pisos de enchape ceramico y porcelanato | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:59] C1:53 | C2:Trazo en fachada para ventanas | C3:Topografia | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:60] C1:54 | C2:Corte de fierro con instalacion de ventanas | C3:Seguridad Industrial (EPP y EPC), Patrimonial | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:61] C1:55 | C2:Encofrado y concreto  lobby | C3:Varios - Arquitectura | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:62] C1:56 | C2:Tarrajeos de derrames y resanes en dpts | C3:Tarrajeo, Revoques y Enlucido | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:63] C1:57 | C2:Acentado ladrillo  blanco piso 1 | C3:Varios - Arquitectura | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:64] C1:58 | C2:Tarrajeos derrames  solaqueo techo tecnico | C3:Tarrajeo, Revoques y Enlucido | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:65] C1:59 | C2:Tarrajeo muros y derrames piso  1 | C3:Tarrajeo, Revoques y Enlucido | C4:8.5
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:66] C1:60 | C2:Llavero | C3:Seguridad Industrial (EPP y EPC), Patrimonial | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:67] C1:61 | C2:Encofrado y concreto muro y meza pet sotano 2 | C3:Varios - Arquitectura | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:68] C1:62 | C2:Retoque de pintura piloto ventas | C3:Pintura y recubrimiento | C4:
